target,input
Checking or savings account,"I recently had at least two account sold by XXXX XXXX to Flagstar Bank, which caused me to be unable to access server all XXXX dollars I desperately needed. I now live >100 miles from the nearest branch, so all of my XXXX XXXX banking was done online. I became aware that XXXX XXXX was planning to sell my savings account. First, I spoke to a XXXX XXXX representative about my wish to have my account remain with XXXX XXXX, but I was told there was nothing I could do. 

I told the representative my plan to drain the savings account, and at no point did the XXXX XXXX rep mention my checking account was moving to Flagstar too. 

On XX/XX/XXXX my checking and savings were moved to Flagstar.

I made 3 calls total to try to get access to my money between XX/XX/XXXX-XX/XX/XXXX. Flagstar is online banking was completely in accessible during this time. I never wanted to be a Flagstar bank customer, and now they have multiple accounts opened in my name. What concerns me even more, is that they refuse to close the accounts without several pieces of highly sensitive personal information being mailed or faxed to their corporate office. It seems crazy to me that a bank would be allowed to open accounts in my name without my consent. I would really rather not create a paper trail of my personal information for clock Flagstar to use to advertise to me. Furthermore I learned they are using my Social Security number as a login for the online banking portal which leads me to believe their security practices are subpar to say the least."
Vehicle loan or lease,"To whom it may concern I have contact ally and explained them my financial hardship situation thats been going on for about 12 months or a bit less.

I have emailed them a request for assistance to help me get an immediately extension for 2 month so that it can help me get back on track with my payments once for all.

I know and understand they have help me several times and Im very thankful because they always been there for me on hard times.

I am really sorry that I have to go thru this again and ask them for help again. But unfortunately my grandmother health has been my major financial hardship situation and problems with her health as she is an elder lady of XXXX  years old.

In my request I mentioned Them all of my concerns and submitted pictures of her recent XXXX  and aware them of the cost of everything we been thru and the cost of her XXXX  and medications and her appointment they are not free. 
They froze my account last month of XXXX and I had to use XXXX XXXX XXXX XXXX because they couldnt allow me to use my mobile app to make payment since the car was ordered to be repossessed. 
I had no choice but to ask my landlord for a loan to pay them a month payment of XXXX by not doing it my car would be repossessed. 
I know they help me several times already but that doesnt mean they have to treat me bad or denied any help options or alternatives since I have been on time most of the time within the past 3 years this year has been the worse for me as I been having a lot of problems under the circumstances that my grandmother health is causing at this time but her life is first I also stated that I been working less hours at work but its only a temporary thing it always slows in winter time but the most important thing is to communicate with ally as my loan service and see my payments Alternatives before taking any actions against me as Im experiencing difficulties with my financial needs difficulties with my grandmother health. 
It wish ally had more affordable payments and wish they even lower my payments without having to refinance or going thru. Rewrite department. 
The way they help people out can sometimes denied you help wen ur struggling beacause of a family emergency in this case my situation. 
Some times I feel like they dont believe me and might thing that Im a lier but this is really happening people and as much as I try to become current Im always a payment or two behind and as I explained my self to them most of the time they dont care and the representative will be well it not guaranteed that they might help you or give you and extension. 
It is my priority to keep my car and get caught up and make my payment in time. 

This situation has also generated late fee charges and its ridiculous gone up to XXXX or more in late fees as they been generating. 
Im begging ally to accept and help me get 2 months or 3 month extension to get current even if they add all the past due Yo the end of the contract I know those payments can be paid at the end or if any other best way or option even better. 
Only if interest for a 12.19 % Ive paid about a good XXXX on interest if not maybe more. and for the first 3 years I never failed Any payment since I didnt had any or much family health issues or financial hardship situation like right now. I know they can help me find a way so that i wont be panicking on how to become current in a small period of time since they make me panic and i feel stress out thinking Im going to loose my car. Also a lot of things have been replaced in my cAr I was very disappointed that XXXX   XXXX denied me to fix the repairs while my car had a manufactured warranty that cover the repairs I did but they refused to do so that cost me money out of my pockets money that could hVe been used to pay my car payments etc. 2 times they denied me the warranty parts insurance I had they didnt value it I end up paying XXXX for two sensors and replaced the battery twice everything should have cover me with the warranty insurance I had. 
Now the most important tia to ask ally for help. 
Help me get current I recently made a one time payment of XXXX thru XXXX XXXX XXXX XXXX on XX/XX/2018 Im behind 3 payment please help me by adding this past due amount added into the loan and possibly have those 3 month payment dude by adding them to the loan by extending the months

to 3 more months payment addd to the end of the contract or any better solution. Help me now before my car can ho to re
ppo as Im trying to avoid it"
Debt collection,"I have called and mailed letters on several occasions regarding accounts opened fraudulently in my name and I included the Official Affidavit form, Federal Trade Commission Identity Theft Report and Local Police Report. The company keeps on responding with a denial letter which changes each time. One denial letter will state that Merchandise was shipped to customer 's verified address which nothing was ever delivered to my address and I have asked for signatures to prove who was signing for these items which they never would provide. I also asked for a copy of the application in my name which they refuse to provide and also the information used to open the account does not match my information along with the security questions do not match my answers. I never applied for any credit card and there have been several opened with Synchrony Bank and they refuse to accept that this is Identity Theft. The other denial letter states that the account opened greater than 1 year with verifiable payment history which they say was made using a XXXX XXXX  account. I have never had a XXXX XXXX  account and have definitely not made any payments to this company. They also state that customer benefited from use of card/participated in the purchases. I have never even received a credit card from this company and have definitely not participated nor benefited from any purchases. Synchrony Bank is a Fraudulent company who refuses do accept that I am a victim of Identity Theft."
Student loan,"I have several months that are not being reported to the credit bureaus that shows my account as current for all months. The missing months includes that following : XXXX XXXX, XXXX XXXX, XXXX and XX/XX/XXXX, and XXXX XXXX."
Debt collection,"Creditor is reporting accounts that are invalid and unverified. XXXX  and XXXX have investigated this account and they concluded the account was not matching my records of being assigned to me. I would like proof these accounts were disputed per FCRA/FDCPA. 
This is causing me anguish and its slandering my good name. Please block this account from my report so I can breathe again. 
Account Name : SAFCO  Account Number : XXXX Date : XX/XX/2015 Amount : {$7100.00}"
"Money transfer, virtual currency, or money service","Our remittance of US {$170000.00} from XXXX dated XX/XX/2018 still not received by Beneficiary. The Fund remitted from XXXX To XXXX XXXX - via USA.

But HSBC USA holds the fund from more then a month without any intimation to us. Pls find herewith attached SWIFT copy of remittance for your reference & follow up."
"Credit reporting, credit repair services, or other personal consumer reports","The following are UNAUTHORIZED INQUIRIES I discovered on my various credit files. 
COMPANY : XXXX XXXX XXXX. DATE :XX/XX/XXXX COMPANY : XXXX XXXX DATE : XXXX COMPANY : XXXX XXXX BUY DATE :XX/XX/XXXX COMPANY : XXXX XXXX XXXX XXXX XXXX. DATE : XXXX COMPANY : XXXX XXXX DATE : XXXX COMPANY : XXXX XXXX XXXX DATE : XXXX COMPANY : XXXX DATE : XXXX COMPANY : XXXX XXXX DATE : XXXX COMPANY : XXXX XXXX DATE :XX/XX/XXXX COMPANY : XXXX BANK XXXX DATE :XX/XX/XXXXCOMPANY : XXXX XXXX DATE :XX/XX/XXXX COMPANY : XXXX XXXX XXXX DATE XX/XX/XXXX COMPANY : XXXX XXXX  DATE : XXXX COMPANY : XXXX XXXX  XXXX DATE : XX/XX/XXXXandXX/XX/XXXX COMPANY : XXXX XXXX XXXX DATE : XX/XX/XXXXCOMPANY : XXXX XXXX DATE : XXXX COMPANY : XXXX XXXX XXXX DATE :XX/XX/XXXX COMPANY : XXXX XXXX XXXX XXXX XXXX XXXX : XXXX DATE : XXXX"
"Payday loan, title loan, or personal loan","Repeated Harassment I was given a loan through the mail with XXXX XXXX, with brief description of terms and conditions. Even during the time that I was making my payments as regularly scheduled I would continuously receive calls from their employees throughout the week before my payment was due, after it was due and I was just one day off from making my payment, even though I had 10 days to still make my payment before a late fee was even added, they would repeatedly call starting from sometimes XXXXXXXX XXXX XXXX XXXX   until XXXX at XXXX, and even though I would make my payments they would make me wait at a local until they contacted whichever branch/office the loan was from until they would allow me to leave and give me a receipt regarding the payment I was making. 
Things started to get even worse with this company when I lost my job and had to delay XX/XX/XXXX payments a little, and although I informed them of my situation and offered to do they would continue to harass me throughout the week, and on a daily basis they would call me every one to two hours with it being a different representative on the phone. When I tried to setup arrangements to at least make payments with the funds ( {$25.00} ) I had available, the guy name XXXX, also XXXX, or another CSR refused to accept what I was able to give and said that I had to come up with more money than that and that if I couldn't I need to hold the money until I was able to give the entire amount ( {$160.00} ), then the calls continued to escalate with the representatives and the XXXX contacting me several times, sending me letter even after I made a full payment to the point that the XXXX left threating voicemail on my phone repeatedly, I am degraded by their personnel with unprofessional remarks when I go in to make payments. This harassment of this company daily is affecting me mental and physically to the point I'm afraid to answer my phone due to the continuous calling they do to me throughout each day and this has gone on for some months now none stop. Even if I communicate with them to try and let them know when I will be in to make a payment they still continue to call me ( causing to miss very important calls because they continue to tie up my line ) Now it interferes with my work. This company does not hold people privacy a priority, seaming that they sent me someone else 's loan document in the mail with all the persons ' personal information on it, if they are this careless with someone else, they can do the same with me. Furthermore, I am not the only one who has experience this type of service from this company, other people who are elderly have also told me that they have experience the same. The local company offices try to make you come in and resign your loan in the office as a way of putting you in a higher interest rate than the one you were initially in causing your actual loan to skyrocket double or triple times the amount you actual had due to start with, as their way of helping you with your situation so they say. I just want the repeated harassment to stop, all the calls and letters are not necessary, and I don't think it is right that when you do try to make some form of payment they refuse you, in order to gain higher interest on you by trying to get you to sign a different agreement than the first one. Especially when they have limited options to make payments because their website does not deduct your funds correctly from your account causing you to go in the local office because of repeated calls saying they haven't received your payment although you attempted to make it online. No one deserves this treatment rather your paying on-time or late ( even the amount of time they allow you to make your payment, they harassed me through the entire period )"
"Credit reporting, credit repair services, or other personal consumer reports",Account Name : XXXX XXXX ( XXXX ) I would like to address this issue of this inaccurate account on my credit report. I followed your advice about contacting the collector.I sent them a letter by certified mail and it was received on XX/XX/2018 and asked them to verify the debt and investigate. As oftodaythey still have not responded to me with sufficient information.The company responded by sending me a copy of an old bill from the original company I had services with that had no other information on it stating they were authorized to collect on it. The old bills don't match the amounts that are being reported on my credit report. They also didn't provide proof that they are authorized to collect on a debt. This debt was not properly verified and I don't believe that it is mine. None of the credit bureaus have remedied this issue. I thought they had 30 days to investigate and fix the inaccurate account listed. It has been over 45 days and this debt has not been verified nor has it been removed from my credit profile.
Debt collection,"Dear Consumer Financial Protection Bureau, Please review the attached letter that details the issue with XXXX XXXX XXXX and XXXX. 

I disputed the account showing up on my credit report at beginning on XX/XX/2018. I received the attached response from XXXX XXXX XXXX On XX/XX/XXXX. 

Please help resolve this issue. 

Thank you, XXXX XXXX"
